container_id, area (nm**2),Unnamed: 2,density_fraction_corrected,monomer_area,monomer_count,Mw,Mw_Giga_dalton
XXL1,11697983.658,,10608901.3794402,21217802.7588804,23920.859931094023,61442030027.79525,61.442030027795255
XXL2_top_image,3958867.181,,3590296.6464489,7180593.2928978,8095.370116006539,20793398531.097107,20.793398531097107
XXL3,4424583.373,,4012654.6609736998,8025309.3219473995,9047.699348305974,23239507970.96844,23.239507970968443
XXL4,4777404.766,,4332628.3822854,8665256.7645708,9769.173353518378,25092653201.542385,25.092653201542387
XL1_top_image,2793135.37,,2533094.4670530003,5066188.934106001,5711.599700232245,14670554541.070213,14.670554541070214
L1_top_image,720571.714,,653486.4874266001,1306972.9748532001,1473.4757326417139,3784702576.3700976,3.7847025763700977
