 ,Area,Mean,Min,Max,Angle,Length
203,100913.657,5991.989,4409,8443,-86.424,235.755
204,101896.201,5243.066,3050,7296,-84.094,238.194
205,101140.603,6150.195,4559,8434,-84.447,236.405
206,98184.962,6302.841,4660,8383,-85.507,229.465
207,84691.004,6170.764,4423,8227,-90.000,197.714
208,93803.564,6470.194,4733,8562,-177.436,219.175
209,88866.816,5566.564,2816,7840,-179.098,207.544
210,97755.099,5951.252,4182,8087,-73.379,228.503
211,102072.418,5302.361,2892,7836,-74.917,238.614
212,110979.391,5311.314,3462,8018,-75.789,259.580
213,109793.931,5720.751,3496,8236,-76.759,256.829
214,98214.331,5813.210,4016,8009,-118.025,229.529
215,85254.365,5761.970,4090,7723,-119.511,199.026
216,105012.039,6527.743,4477,8556,-99.964,245.535
